gene	resp	score	count	site	signature
ERV14	12	4.362203	121	NIBR	TIM54 inhibitors; amitriptyline:12
TCA17	12	4.154645	121	NIBR	TIM54 inhibitors; amitriptyline:12
SWH1	12	4.133232	121	NIBR	TIM54 inhibitors; amitriptyline:12
GGA2	12	4.094382	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS3	12	3.989091	121	NIBR	TIM54 inhibitors; amitriptyline:12
RRT2	12	3.933732	121	NIBR	TIM54 inhibitors; amitriptyline:12
PEP7	12	3.871705	121	NIBR	TIM54 inhibitors; amitriptyline:12
PEP12	12	3.769004	121	NIBR	TIM54 inhibitors; amitriptyline:12
YIP5	12	3.637407	121	NIBR	TIM54 inhibitors; amitriptyline:12
RAM1	12	3.603406	121	NIBR	TIM54 inhibitors; amitriptyline:12
GYP1	12	3.460858	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS9	12	3.446094	121	NIBR	TIM54 inhibitors; amitriptyline:12
YIP4	12	3.42442	121	NIBR	TIM54 inhibitors; amitriptyline:12
SPO7	12	3.41483	121	NIBR	TIM54 inhibitors; amitriptyline:12
TDH1	12	3.392092	121	NIBR	TIM54 inhibitors; amitriptyline:12
NHX1	12	3.39015	121	NIBR	TIM54 inhibitors; amitriptyline:12
SAC3	12	3.37084	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS13	12	3.268596	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS25	12	3.261653	121	NIBR	TIM54 inhibitors; amitriptyline:12
TLG2	12	3.247919	121	NIBR	TIM54 inhibitors; amitriptyline:12
ISW1	12	3.195475	121	NIBR	TIM54 inhibitors; amitriptyline:12
APM2	12	3.18328274867224	121	NIBR	TIM54 inhibitors; amitriptyline:12
SNF7	12	3.058071	121	NIBR	TIM54 inhibitors; amitriptyline:12
SLM3	12	3.008445	121	NIBR	TIM54 inhibitors; amitriptyline:12
MVP1	12	2.96079	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS21	12	2.952511	121	NIBR	TIM54 inhibitors; amitriptyline:12
NEM1	12	2.938268	121	NIBR	TIM54 inhibitors; amitriptyline:12
TRS65	12	2.881358	121	NIBR	TIM54 inhibitors; amitriptyline:12
BUD27	12	2.85852059906494	121	NIBR	TIM54 inhibitors; amitriptyline:12
PIK1	12	2.853879	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS45	12	2.853469	121	NIBR	TIM54 inhibitors; amitriptyline:12
IOC2	12	2.77855	121	NIBR	TIM54 inhibitors; amitriptyline:12
MLP1	12	2.702627	121	NIBR	TIM54 inhibitors; amitriptyline:12
THP1	12	2.659019	121	NIBR	TIM54 inhibitors; amitriptyline:12
KES1	12	2.638724	121	NIBR	TIM54 inhibitors; amitriptyline:12
VAM10	12	2.555882	121	NIBR	TIM54 inhibitors; amitriptyline:12
KHA1	12	2.531273	121	NIBR	TIM54 inhibitors; amitriptyline:12
NBP2	12	2.511102	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS8	12	2.488226	121	NIBR	TIM54 inhibitors; amitriptyline:12
YGR122W	12	2.486268	121	NIBR	TIM54 inhibitors; amitriptyline:12
RSC6	12	2.484282	121	NIBR	TIM54 inhibitors; amitriptyline:12
RIM21	12	2.412288	121	NIBR	TIM54 inhibitors; amitriptyline:12
NPR1	12	2.405134	121	NIBR	TIM54 inhibitors; amitriptyline:12
SMI1	12	2.368243	121	NIBR	TIM54 inhibitors; amitriptyline:12
RVS161	12	2.360374	121	NIBR	TIM54 inhibitors; amitriptyline:12
RPS9B	12	2.344623	121	NIBR	TIM54 inhibitors; amitriptyline:12
RIM20	12	2.344081	121	NIBR	TIM54 inhibitors; amitriptyline:12
RCY1	12	2.305099	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS52	12	2.294482	121	NIBR	TIM54 inhibitors; amitriptyline:12
RIM9	12	2.287763	121	NIBR	TIM54 inhibitors; amitriptyline:12
SAC1	12	2.276203	121	NIBR	TIM54 inhibitors; amitriptyline:12
DPH5	12	2.27301435099258	121	NIBR	TIM54 inhibitors; amitriptyline:12
BRO1	12	2.26030904490574	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS5	12	2.245348	121	NIBR	TIM54 inhibitors; amitriptyline:12
DPH2	12	2.22740838984959	121	NIBR	TIM54 inhibitors; amitriptyline:12
PBP1	12	2.220129	121	NIBR	TIM54 inhibitors; amitriptyline:12
CHS5	12	2.1994741431178	121	NIBR	TIM54 inhibitors; amitriptyline:12
DFG16	12	2.14336257124105	121	NIBR	TIM54 inhibitors; amitriptyline:12
PTC6	12	2.134053	121	NIBR	TIM54 inhibitors; amitriptyline:12
PCT1	12	2.07905	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS27	12	2.069946	121	NIBR	TIM54 inhibitors; amitriptyline:12
SCS2	12	2.050318	121	NIBR	TIM54 inhibitors; amitriptyline:12
RIM101	12	2.027962	121	NIBR	TIM54 inhibitors; amitriptyline:12
SEM1	12	2.003752	121	NIBR	TIM54 inhibitors; amitriptyline:12
RIM13	12	1.989593	121	NIBR	TIM54 inhibitors; amitriptyline:12
MNN2	12	1.971982	121	NIBR	TIM54 inhibitors; amitriptyline:12
PAN3	12	1.955839	121	NIBR	TIM54 inhibitors; amitriptyline:12
TVP18	12	1.938414	121	NIBR	TIM54 inhibitors; amitriptyline:12
SAM37	12	1.92874	121	NIBR	TIM54 inhibitors; amitriptyline:12
IRS4	12	1.92436	121	NIBR	TIM54 inhibitors; amitriptyline:12
CTK3	12	1.92255657733604	121	NIBR	TIM54 inhibitors; amitriptyline:12
CTK1	12	1.89165564931096	121	NIBR	TIM54 inhibitors; amitriptyline:12
VPS4	12	1.890777	121	NIBR	TIM54 inhibitors; amitriptyline:12
EPO1	12	1.872981	121	NIBR	TIM54 inhibitors; amitriptyline:12
RIM8	12	1.848951	121	NIBR	TIM54 inhibitors; amitriptyline:12
WHI2	12	1.841352	121	NIBR	TIM54 inhibitors; amitriptyline:12
JJJ3	12	1.814109	121	NIBR	TIM54 inhibitors; amitriptyline:12
LSM1	12	1.810019	121	NIBR	TIM54 inhibitors; amitriptyline:12
YPT31	12	1.786541	121	NIBR	TIM54 inhibitors; amitriptyline:12
IPT1	12	1.774299	121	NIBR	TIM54 inhibitors; amitriptyline:12
LCB1	12	1.716261	121	NIBR	TIM54 inhibitors; amitriptyline:12
DRS2	12	1.70318312389173	121	NIBR	TIM54 inhibitors; amitriptyline:12
SRN2	12	1.697251	121	NIBR	TIM54 inhibitors; amitriptyline:12
MON2	12	1.677523	121	NIBR	TIM54 inhibitors; amitriptyline:12
SXM1	12	1.671458	121	NIBR	TIM54 inhibitors; amitriptyline:12
LST7	12	1.659491	121	NIBR	TIM54 inhibitors; amitriptyline:12
YAP3	12	1.653003	121	NIBR	TIM54 inhibitors; amitriptyline:12
GVP36	12	1.652256	121	NIBR	TIM54 inhibitors; amitriptyline:12
CSG2	12	1.64757957123973	121	NIBR	TIM54 inhibitors; amitriptyline:12
YSP2	13	8.7899925	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
LAM1	13	6.0682145	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
SIP3	13	5.6929715	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
CKA2	13	3.49514333373138	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
SUR1	13	2.9236985	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
PTR2	13	2.8707685	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
OSH3	13	2.2737415	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
PDR1	13	2.26656	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
ELO2	13	2.2424605	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
PRO2	13	2.0417755	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
IPT1	13	1.8247805	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
CDC10	13	1.788327694	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
ELO3	13	1.7662415	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
PHO80	13	1.7439185	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
TRP3	13	1.668747	20	NIBR|UBC	sphingolipid biosynthesis; formosanin C:13
GCN4	14	6.884866	34	NIBR|UBC	aromatic AA biosynthesis:14
ARO3	14	6.07617609191552	34	NIBR|UBC	aromatic AA biosynthesis:14
GCN2	14	5.053614	34	NIBR|UBC	aromatic AA biosynthesis:14
GCN3	14	4.6500895	34	NIBR|UBC	aromatic AA biosynthesis:14
ANY1	14	4.562673384205	34	NIBR|UBC	aromatic AA biosynthesis:14
TRP4	14	3.672723	34	NIBR|UBC	aromatic AA biosynthesis:14
TRP1	14	3.4580015	34	NIBR|UBC	aromatic AA biosynthesis:14
RPL30	14	2.8552	34	NIBR|UBC	aromatic AA biosynthesis:14
GCN20	14	2.681667	34	NIBR|UBC	aromatic AA biosynthesis:14
TRP2	14	2.430416	34	NIBR|UBC	aromatic AA biosynthesis:14
SMX2	14	2.417939	34	NIBR|UBC	aromatic AA biosynthesis:14
CDC55	14	2.261979	34	NIBR|UBC	aromatic AA biosynthesis:14
SUE1	14	2.207782	34	NIBR|UBC	aromatic AA biosynthesis:14
TRP3	14	2.10683336	34	NIBR|UBC	aromatic AA biosynthesis:14
ARG3	14	2.072546	34	NIBR|UBC	aromatic AA biosynthesis:14
