GOID	term	gene	geneSetSize
GO:1901911	ADENOSINE 5'-(HEXAHYDROGEN PENTAPHOSPHATE) CATABOLIC PROCESS	DDP1	1
GO:0006172	ADP BIOSYNTHETIC PROCESS	ADK1	1
GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN	AIF1	1
GO:0001315	AGE-DEPENDENT RESPONSE TO REACTIVE OXYGEN SPECIES	CTA1	1
GO:0035973	AGGREPHAGY	SNF2	1
GO:0070842	AGGRESOME ASSEMBLY	BMH1	1
GO:0007568	AGING	GAS1	1
GO:0006523	ALANINE BIOSYNTHETIC PROCESS	ALT1	1
GO:0006524	ALANINE CATABOLIC PROCESS	ALT1	1
GO:0006419	ALANYL-TRNA AMINOACYLATION	ALA1	1
GO:0046185	ALDEHYDE CATABOLIC PROCESS	HFD1	1
GO:0052646	ALDITOL PHOSPHATE METABOLIC PROCESS	PYP1	1
GO:0015719	ALLANTOATE TRANSPORT	DAL5	1
GO:0009442	ALLANTOIN ASSIMILATION PATHWAY	DAL1	1
GO:0015720	ALLANTOIN TRANSPORT	DAL4	1
GO:0000017	ALPHA-GLUCOSIDE TRANSPORT	MAL31	1
GO:0015742	ALPHA-KETOGLUTARATE TRANSPORT	YHM2	1
GO:0015837	AMINE TRANSPORT	DTR1	1
GO:0032973	AMINO ACID EXPORT ACROSS PLASMA MEMBRANE	AQR1	1
GO:0080144	AMINO ACID HOMEOSTASIS	MSN2	1
GO:0019676	AMMONIA ASSIMILATION CYCLE	GLT1	1
GO:1904824	ANAPHASE-PROMOTING COMPLEX ASSEMBLY	SWM1	1
GO:0043420	ANTHRANILATE METABOLIC PROCESS	BNA5	1
GO:0015699	ANTIMONITE TRANSPORT	ARR3	1
GO:0006527	ARGININE CATABOLIC PROCESS	CAR2	1
GO:0019544	ARGININE CATABOLIC PROCESS TO GLUTAMATE	CAR2	1
GO:0019547	ARGININE CATABOLIC PROCESS TO ORNITHINE	CAR1	1
GO:0010121	ARGININE CATABOLIC PROCESS TO PROLINE VIA ORNITHINE	CAR2	1
GO:0000053	ARGININOSUCCINATE METABOLIC PROCESS	ARG1	1
GO:0015801	AROMATIC AMINO ACID TRANSPORT	TAT2	1
GO:0019439	AROMATIC COMPOUND CATABOLIC PROCESS	PAD1	1
GO:0019266	ASPARAGINE BIOSYNTHETIC PROCESS FROM OXALOACETATE	AAT2	1
GO:0006528	ASPARAGINE METABOLIC PROCESS	NIT3	1
GO:0006532	ASPARTATE BIOSYNTHETIC PROCESS	AAT2	1
GO:0006533	ASPARTATE CATABOLIC PROCESS	AAT1	1
GO:0009067	ASPARTATE FAMILY AMINO ACID BIOSYNTHETIC PROCESS	HOM6	1
GO:0015810	ASPARTATE TRANSMEMBRANE TRANSPORT	AGC1	1
GO:0006422	ASPARTYL-TRNA AMINOACYLATION	DPS1	1
GO:1990734	ASTRAL MICROTUBULE ANCHORING AT MITOTIC SPINDLE POLE BODY	SPC72	1
GO:0060172	ASTRAL MICROTUBULE DEPOLYMERIZATION	STU1	1
GO:0061510	ASYMMETRIC PROTEIN LOCALIZATION TO NEW MITOTIC SPINDLE POLE BODY	LTE1	1
GO:1990507	ATP-INDEPENDENT CHAPERONE MEDIATED PROTEIN FOLDING	GET3	1
GO:1905037	AUTOPHAGOSOME ORGANIZATION	ATG16	1
GO:0045117	AZOLE TRANSMEMBRANE TRANSPORT	AZR1	1
GO:0097510	BASE-EXCISION REPAIR, AP SITE FORMATION VIA DEAMINATED BASE REMOVAL	UNG1	1
GO:0006286	BASE-EXCISION REPAIR, BASE-FREE SUGAR-PHOSPHATE REMOVAL	RAD27	1
GO:0015878	BIOTIN TRANSPORT	VHT1	1
GO:0034963	BOX C/D SNORNA PROCESSING	RNT1	1
GO:0000495	BOX H/ACA SNORNA 3'-END PROCESSING	CBF5	1
GO:0034964	BOX H/ACA SNORNA PROCESSING	RNT1	1
GO:0000950	BRANCHED-CHAIN AMINO ACID CATABOLIC PROCESS TO ALCOHOL VIA EHRLICH PATHWAY	ARO10	1
GO:1990577	C-TERMINAL PROTEIN DEMETHYLATION	PPE1	1
GO:0055074	CALCIUM ION HOMEOSTASIS	FLC2	1
GO:0097553	CALCIUM ION TRANSMEMBRANE IMPORT INTO CYTOSOL	YVC1	1
GO:0006198	CAMP CATABOLIC PROCESS	PDE1	1
GO:0046835	CARBOHYDRATE PHOSPHORYLATION	GAL1	1
GO:0000429	CARBON CATABOLITE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER	IMP2'	1
GO:0045329	CARNITINE BIOSYNTHETIC PROCESS	AIM17	1
GO:0046705	CDP BIOSYNTHETIC PROCESS	URA6	1
GO:0000767	CELL MORPHOGENESIS INVOLVED IN CONJUGATION	MID2	1
GO:0007166	CELL SURFACE RECEPTOR SIGNALING PATHWAY	LEM3	1
GO:0006884	CELL VOLUME HOMEOSTASIS	VHC1	1
GO:0070726	CELL WALL ASSEMBLY	YGP1	1
GO:0042546	CELL WALL BIOGENESIS	NAG1	1
GO:0006038	CELL WALL CHITIN BIOSYNTHETIC PROCESS	CRZ1	1
GO:0006039	CELL WALL CHITIN CATABOLIC PROCESS	CHS5	1
GO:0043603	CELLULAR AMIDE METABOLIC PROCESS	YDL124W	1
GO:0009063	CELLULAR AMINO ACID CATABOLIC PROCESS	CHA4	1
GO:0006876	CELLULAR CADMIUM ION HOMEOSTASIS	SMF1	1
GO:0006877	CELLULAR COBALT ION HOMEOSTASIS	SMF2	1
GO:0110095	CELLULAR DETOXIFICATION OF ALDEHYDE	YKL071W	1
GO:0070458	CELLULAR DETOXIFICATION OF NITROGEN COMPOUND	HPA3	1
GO:0071475	CELLULAR HYPEROSMOTIC SALINITY RESPONSE	NRG1	1
GO:0071476	CELLULAR HYPOTONIC RESPONSE	FLC2	1
GO:0042219	CELLULAR MODIFIED AMINO ACID CATABOLIC PROCESS	SRY1	1
GO:0044271	CELLULAR NITROGEN COMPOUND BIOSYNTHETIC PROCESS	AGC1	1
GO:0030643	CELLULAR PHOSPHATE ION HOMEOSTASIS	VTC5	1
GO:0071311	CELLULAR RESPONSE TO ACETATE	YPK1	1
GO:0071468	CELLULAR RESPONSE TO ACIDIC PH	YCR102C	1
GO:1990383	CELLULAR RESPONSE TO BIOTIN STARVATION	HST4	1
GO:0071322	CELLULAR RESPONSE TO CARBOHYDRATE STIMULUS	AZF1	1
GO:0071497	CELLULAR RESPONSE TO FREEZING	TIR2	1
GO:0071333	CELLULAR RESPONSE TO GLUCOSE STIMULUS	ROD1	1
GO:0071479	CELLULAR RESPONSE TO IONIZING RADIATION	DDC1	1
GO:0071248	CELLULAR RESPONSE TO METAL ION	IRA2	1
GO:1902170	CELLULAR RESPONSE TO REACTIVE NITROGEN SPECIES	YHB1	1
GO:0071252	CELLULAR RESPONSE TO SULFUR DIOXIDE	COM2	1
GO:0071466	CELLULAR RESPONSE TO XENOBIOTIC STIMULUS	RDS2	1
GO:0046069	CGMP CATABOLIC PROCESS	PDE1	1
GO:0019988	CHARGED-TRNA AMINO ACID MODIFICATION	RIT1	1
GO:0006032	CHITIN CATABOLIC PROCESS	CTS1	1
GO:0006033	CHITIN LOCALIZATION	RCR1	1
GO:0055064	CHLORIDE ION HOMEOSTASIS	VHC1	1
GO:0006821	CHLORIDE TRANSPORT	YHL008C	1
GO:0015871	CHOLINE TRANSPORT	HNM1	1
GO:0048096	CHROMATIN-MEDIATED MAINTENANCE OF TRANSCRIPTION	ELF1	1
GO:0051312	CHROMOSOME DECONDENSATION	MAD2	1
GO:0000354	CIS ASSEMBLY OF PRE-CATALYTIC SPLICEOSOME	CLF1	1
GO:0035652	CLATHRIN-COATED VESICLE CARGO LOADING	MIL1	1
GO:0015938	COENZYME A CATABOLIC PROCESS	PCD1	1
GO:0015880	COENZYME A TRANSPORT	LEU5	1
GO:0071951	CONVERSION OF METHIONYL-TRNA TO N-FORMYL-METHIONYL-TRNA	FMT1	1
GO:0048205	COPI COATING OF GOLGI VESICLE	GLO3	1
GO:0048208	COPII VESICLE COATING	SEC16	1
GO:0055070	COPPER ION HOMEOSTASIS	ICS3	1
GO:0035434	COPPER ION TRANSMEMBRANE TRANSPORT	PIC2	1
GO:0009187	CYCLIC NUCLEOTIDE METABOLIC PROCESS	CPD1	1
GO:0006535	CYSTEINE BIOSYNTHETIC PROCESS FROM SERINE	CYS4	1
GO:0042883	CYSTEINE TRANSPORT	YCT1	1
GO:0006423	CYSTEINYL-TRNA AMINOACYLATION	CRS1	1
GO:0009972	CYTIDINE DEAMINATION	CDD1	1
GO:0046087	CYTIDINE METABOLIC PROCESS	FCY1	1
GO:0015861	CYTIDINE TRANSPORT	FCY2	1
GO:0017004	CYTOCHROME COMPLEX ASSEMBLY	CBT1	1
GO:0009691	CYTOKININ BIOSYNTHETIC PROCESS	LOG1	1
GO:0002182	CYTOPLASMIC TRANSLATIONAL ELONGATION	LSO2	1
GO:0019858	CYTOSINE METABOLIC PROCESS	FCY1	1
GO:0046967	CYTOSOL TO ENDOPLASMIC RETICULUM TRANSPORT	SEC63	1
GO:0046416	D-AMINO ACID METABOLIC PROCESS	HPA3	1
GO:1900832	D-LEUCINE CATABOLIC PROCESS	DTD1	1
GO:0019303	D-RIBOSE CATABOLIC PROCESS	RBK1	1
GO:0006014	D-RIBOSE METABOLIC PROCESS	RKI1	1
GO:0070179	D-SERINE BIOSYNTHETIC PROCESS	SRY1	1
GO:0036088	D-SERINE CATABOLIC PROCESS	DSD1	1
GO:0070178	D-SERINE METABOLIC PROCESS	DSD1	1
GO:1900829	D-TYROSINE CATABOLIC PROCESS	DTD1	1
GO:0051607	DEFENSE RESPONSE TO VIRUS	NUC1	1
GO:0070988	DEMETHYLATION	ERG28	1
GO:0006217	DEOXYCYTIDINE CATABOLIC PROCESS	CDD1	1
GO:0009202	DEOXYRIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS	RAD53	1
GO:0009200	DEOXYRIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS	SRL4	1
GO:0002236	DETECTION OF MISFOLDED PROTEIN	SIS1	1
GO:0009731	DETECTION OF SUCROSE STIMULUS	GPR1	1
GO:1901909	DIADENOSINE HEXAPHOSPHATE CATABOLIC PROCESS	DDP1	1
GO:1901907	DIADENOSINE PENTAPHOSPHATE CATABOLIC PROCESS	DDP1	1
GO:0015961	DIADENOSINE POLYPHOSPHATE CATABOLIC PROCESS	DDP1	1
GO:0006835	DICARBOXYLIC ACID TRANSPORT	DIC1	1
GO:0046452	DIHYDROFOLATE METABOLIC PROCESS	DFR1	1
GO:0032837	DISTRIBUTIVE SEGREGATION	MAD3	1
GO:0035863	DITP CATABOLIC PROCESS	DUT1	1
GO:0006308	DNA CATABOLIC PROCESS	NUC1	1
GO:0000737	DNA CATABOLIC PROCESS, ENDONUCLEOLYTIC	SAE2	1
GO:0090618	DNA CLAMP UNLOADING	ELG1	1
GO:0006266	DNA LIGATION	CDC9	1
GO:0051103	DNA LIGATION INVOLVED IN DNA REPAIR	DNL4	1
GO:0006323	DNA PACKAGING	HMO1	1
GO:1990986	DNA RECOMBINASE DISASSEMBLY	SRS2	1
GO:0071163	DNA REPLICATION PREINITIATION COMPLEX ASSEMBLY	SLD2	1
GO:1902983	DNA STRAND ELONGATION INVOLVED IN MITOTIC DNA REPLICATION	PSF1	1
GO:0000731	DNA SYNTHESIS INVOLVED IN DNA REPAIR	POL1	1
GO:0018909	DODECYL SULFATE METABOLIC PROCESS	BDS1	1
GO:0019348	DOLICHOL METABOLIC PROCESS	DPM1	1
GO:0006489	DOLICHYL DIPHOSPHATE BIOSYNTHETIC PROCESS	ALG7	1
GO:0043048	DOLICHYL MONOPHOSPHATE BIOSYNTHETIC PROCESS	SEC59	1
GO:0006233	DTDP BIOSYNTHETIC PROCESS	CDC8	1
GO:0006235	DTTP BIOSYNTHETIC PROCESS	CDC8	1
GO:0006227	DUDP BIOSYNTHETIC PROCESS	CDC8	1
GO:0046081	DUTP CATABOLIC PROCESS	DUT1	1
GO:0030989	DYNEIN-DRIVEN MEIOTIC OSCILLATORY NUCLEAR MOVEMENT	NUM1	1
GO:0022900	ELECTRON TRANSPORT CHAIN	CIR2	1
GO:1904380	ENDOPLASMIC RETICULUM MANNOSE TRIMMING	MNL1	1
GO:0097176	EPOXIDE METABOLIC PROCESS	YNR064C	1
GO:1904462	ERGOSTERYL 3-BETA-D-GLUCOSIDE CATABOLIC PROCESS	EGH1	1
GO:0051656	ESTABLISHMENT OF ORGANELLE LOCALIZATION	VAC8	1
GO:0097051	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM MEMBRANE	CUE1	1
GO:0061951	ESTABLISHMENT OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE	STE4	1
GO:0070200	ESTABLISHMENT OF PROTEIN LOCALIZATION TO TELOMERE	RAP1	1
GO:0030951	ESTABLISHMENT OR MAINTENANCE OF MICROTUBULE CYTOSKELETON POLARITY	STU2	1
GO:0034229	ETHANOLAMINE TRANSPORT	HNM1	1
GO:1905143	EUKARYOTIC TRANSLATION INITIATION FACTOR 2 COMPLEX ASSEMBLY	CDC123	1
GO:0007580	EXTRACHROMOSOMAL CIRCULAR DNA ACCUMULATION INVOLVED IN CELL AGING	FOB1	1
GO:0034652	EXTRACHROMOSOMAL CIRCULAR DNA LOCALIZATION INVOLVED IN CELL AGING	BUD6	1
GO:0006747	FAD BIOSYNTHETIC PROCESS	FAD1	1
GO:0046443	FAD METABOLIC PROCESS	OSM1	1
GO:0045338	FARNESYL DIPHOSPHATE METABOLIC PROCESS	ERG9	1
GO:0033539	FATTY ACID BETA-OXIDATION USING ACYL-COA DEHYDROGENASE	AIM45	1
GO:0033540	FATTY ACID BETA-OXIDATION USING ACYL-COA OXIDASE	POX1	1
GO:0019368	FATTY ACID ELONGATION, UNSATURATED FATTY ACID	ELO1	1
GO:1902001	FATTY ACID TRANSMEMBRANE TRANSPORT	PXA2	1
GO:0015685	FERRIC-ENTEROBACTIN IMPORT INTO CELL	ENB1	1
GO:0033494	FERULATE METABOLIC PROCESS	FDC1	1
GO:0042726	FLAVIN-CONTAINING COMPOUND METABOLIC PROCESS	FPY1	1
GO:0009398	FMN BIOSYNTHETIC PROCESS	FMN1	1
GO:0006760	FOLIC ACID-CONTAINING COMPOUND METABOLIC PROCESS	ADE3	1
GO:0001677	FORMATION OF TRANSLATION INITIATION TERNARY COMPLEX	TIF11	1
GO:0010147	FRUCTAN CATABOLIC PROCESS	SUC2	1
GO:0015755	FRUCTOSE TRANSMEMBRANE TRANSPORT	SNF3	1
GO:0006106	FUMARATE METABOLIC PROCESS	FUM1	1
GO:0015741	FUMARATE TRANSPORT	SFC1	1
GO:0071940	FUNGAL-TYPE CELL WALL ASSEMBLY	SNF1	1
GO:0008315	G2/MI TRANSITION OF MEIOTIC CELL CYCLE	CLB1	1
GO:0015757	GALACTOSE TRANSMEMBRANE TRANSPORT	GAL2	1
GO:0110121	GAMMA-TUBULIN COMPLEX LOCALIZATION TO CYTOPLASMIC SIDE OF MITOTIC SPINDLE POLE BODY	SPC72	1
GO:0110120	GAMMA-TUBULIN COMPLEX LOCALIZATION TO NUCLEAR SIDE OF MITOTIC SPINDLE POLE BODY	SPC110	1
GO:0046711	GDP BIOSYNTHETIC PROCESS	GUK1	1
GO:1990570	GDP-MANNOSE TRANSMEMBRANE TRANSPORT	VRG4	1
GO:0035822	GENE CONVERSION	POL2	1
GO:0090202	GENE LOOPING	SUA7	1
GO:0002107	GENERATION OF MATURE 3'-END OF 5S RRNA GENERATED BY RNA POLYMERASE III	RNH70	1
GO:0000477	GENERATION OF MATURE 5'-END OF LSU-RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, 5.8S RRNA, LSU-RRNA)	RRP17	1
GO:0006540	GLUTAMATE DECARBOXYLATION TO SUCCINATE	UGA2	1
GO:0006542	GLUTAMINE BIOSYNTHETIC PROCESS	GLN1	1
GO:0046166	GLYCERALDEHYDE-3-PHOSPHATE BIOSYNTHETIC PROCESS	TPI1	1
GO:0046167	GLYCEROL-3-PHOSPHATE BIOSYNTHETIC PROCESS	GUT1	1
GO:0001407	GLYCEROPHOSPHODIESTER TRANSMEMBRANE TRANSPORT	GIT1	1
GO:0031460	GLYCINE BETAINE TRANSPORT	HNM1	1
GO:0006545	GLYCINE BIOSYNTHETIC PROCESS	GLY1	1
GO:0019265	GLYCINE BIOSYNTHETIC PROCESS, BY TRANSAMINATION OF GLYOXYLATE	AGX1	1
GO:0006544	GLYCINE METABOLIC PROCESS	GCV1	1
GO:0034203	GLYCOLIPID TRANSLOCATION	RFT1	1
GO:0006516	GLYCOPROTEIN CATABOLIC PROCESS	PNG1	1
GO:0009436	GLYOXYLATE CATABOLIC PROCESS	GOR1	1
GO:0006177	GMP BIOSYNTHETIC PROCESS	GUA1	1
GO:0032468	GOLGI CALCIUM ION HOMEOSTASIS	GDT1	1
GO:0032472	GOLGI CALCIUM ION TRANSPORT	GDT1	1
GO:0048210	GOLGI VESICLE FUSION TO TARGET MEMBRANE	VPS45	1
GO:0006507	GPI ANCHOR RELEASE	YJL132W	1
GO:0000373	GROUP II INTRON SPLICING	MSS116	1
GO:0006147	GUANINE CATABOLIC PROCESS	GUD1	1
GO:0046098	GUANINE METABOLIC PROCESS	GUD1	1
GO:0001408	GUANINE NUCLEOTIDE TRANSPORT	GGC1	1
GO:0006178	GUANINE SALVAGE	AMD1	1
GO:0042167	HEME CATABOLIC PROCESS	HMX1	1
GO:0035351	HEME TRANSMEMBRANE TRANSPORT	PUG1	1
GO:0019320	HEXOSE CATABOLIC PROCESS	RBH2	1
GO:0015817	HISTIDINE TRANSPORT	HIP1	1
GO:0006427	HISTIDYL-TRNA AMINOACYLATION	HTS1	1
GO:0034969	HISTONE ARGININE METHYLATION	HSL7	1
GO:0016576	HISTONE DEPHOSPHORYLATION	GLC7	1
GO:0001208	HISTONE H2A-H2B DIMER DISPLACEMENT	RAD26	1
GO:0071894	HISTONE H2B CONSERVED C-TERMINAL LYSINE UBIQUITINATION	CHD1	1
GO:0043971	HISTONE H3-K18 ACETYLATION	SGF29	1
GO:0034720	HISTONE H3-K4 DEMETHYLATION	JHD2	1
GO:0097043	HISTONE H3-K56 ACETYLATION	SPT10	1
GO:0071572	HISTONE H3-K56 DEACETYLATION	HST4	1
GO:0043970	HISTONE H3-K9 ACETYLATION	SGF29	1
GO:0043983	HISTONE H4-K12 ACETYLATION	EAF6	1
GO:1990679	HISTONE H4-K12 DEACETYLATION	HST4	1
GO:1990678	HISTONE H4-K16 DEACETYLATION	HST4	1
GO:0043981	HISTONE H4-K5 ACETYLATION	EAF6	1
GO:0043982	HISTONE H4-K8 ACETYLATION	EAF6	1
GO:0000412	HISTONE PEPTIDYL-PROLYL ISOMERIZATION	FPR4	1
GO:0035405	HISTONE-THREONINE PHOSPHORYLATION	STE11	1
GO:0031108	HOLO-[ACYL-CARRIER-PROTEIN] BIOSYNTHETIC PROCESS	PPT2	1
GO:0043418	HOMOCYSTEINE CATABOLIC PROCESS	LAP3	1
GO:0050667	HOMOCYSTEINE METABOLIC PROCESS	SAM4	1
GO:0035825	HOMOLOGOUS RECOMBINATION	NEJ1	1
GO:0042743	HYDROGEN PEROXIDE METABOLIC PROCESS	LPD1	1
GO:0070814	HYDROGEN SULFIDE BIOSYNTHETIC PROCESS	CYS4	1
GO:0043103	HYPOXANTHINE SALVAGE	AAH1	1
GO:0006188	IMP BIOSYNTHETIC PROCESS	AMD1	1
GO:0046040	IMP METABOLIC PROCESS	ADE12	1
GO:0051170	IMPORT INTO NUCLEUS	FMP52	1
GO:0051389	INACTIVATION OF MAPKK ACTIVITY	PTC1	1
GO:0098662	INORGANIC CATION TRANSMEMBRANE TRANSPORT	KHA1	1
GO:0006190	INOSINE SALVAGE	ISN1	1
GO:0006021	INOSITOL BIOSYNTHETIC PROCESS	INO1	1
GO:0048016	INOSITOL PHOSPHATE-MEDIATED SIGNALING	VTC4	1
GO:0052746	INOSITOL PHOSPHORYLATION	IPK1	1
GO:0048219	INTER-GOLGI CISTERNA VESICLE-MEDIATED TRANSPORT	SEC18	1
GO:0045104	INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION	FIN1	1
GO:0018393	INTERNAL PEPTIDYL-LYSINE ACETYLATION	ECO1	1
GO:0006973	INTRACELLULAR ACCUMULATION OF GLYCEROL	GPD1	1
GO:0048312	INTRACELLULAR DISTRIBUTION OF MITOCHONDRIA	CLU1	1
GO:0070059	INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS	IRE1	1
GO:1902927	INULIN CATABOLIC PROCESS	SUC2	1
GO:0018283	IRON INCORPORATION INTO METALLO-SULFUR CLUSTER	YFH1	1
GO:1902497	IRON-SULFUR CLUSTER TRANSMEMBRANE TRANSPORT	ATM1	1
GO:0006550	ISOLEUCINE CATABOLIC PROCESS	LPD1	1
GO:0009240	ISOPENTENYL DIPHOSPHATE BIOSYNTHETIC PROCESS	IDI1	1
GO:0034659	ISOPROPYLMALATE TRANSPORT	OAC1	1
GO:0034276	KYNURENIC ACID BIOSYNTHETIC PROCESS	BNA3	1
GO:0070189	KYNURENINE METABOLIC PROCESS	BNA4	1
GO:0019853	L-ASCORBIC ACID BIOSYNTHETIC PROCESS	YBR053C	1
GO:0019450	L-CYSTEINE CATABOLIC PROCESS TO PYRUVATE	IRC7	1
GO:0015811	L-CYSTINE TRANSPORT	ERS1	1
GO:0015813	L-GLUTAMATE TRANSMEMBRANE TRANSPORT	AGC1	1
GO:0019284	L-METHIONINE SALVAGE FROM S-ADENOSYLMETHIONINE	SAM4	1
GO:0055129	L-PROLINE BIOSYNTHETIC PROCESS	PRO3	1
GO:0006563	L-SERINE METABOLIC PROCESS	SRY1	1
GO:0019249	LACTATE BIOSYNTHETIC PROCESS	DLD3	1
GO:0006089	LACTATE METABOLIC PROCESS	CYB2	1
GO:0034499	LATE ENDOSOME TO GOLGI TRANSPORT	SNX3	1
GO:0030258	LIPID MODIFICATION	ALE1	1
GO:0015909	LONG-CHAIN FATTY ACID TRANSPORT	FAT3	1
GO:0009089	LYSINE BIOSYNTHETIC PROCESS VIA DIAMINOPIMELATE	HOM3	1
GO:1990616	MAGNESIUM ION EXPORT FROM MITOCHONDRION	MME1	1
GO:0034088	MAINTENANCE OF MITOTIC SISTER CHROMATID COHESION	DCC1	1
GO:0035437	MAINTENANCE OF PROTEIN LOCALIZATION IN ENDOPLASMIC RETICULUM	EMP65	1
GO:0032065	MAINTENANCE OF PROTEIN LOCATION IN CELL CORTEX	FUS1	1
GO:0071423	MALATE TRANSMEMBRANE TRANSPORT	DIC1	1
GO:0043490	MALATE-ASPARTATE SHUTTLE	AGC1	1
GO:0015768	MALTOSE TRANSPORT	MAL11	1
GO:0071421	MANGANESE ION TRANSMEMBRANE TRANSPORT	GDT1	1
GO:0019309	MANNOSE CATABOLIC PROCESS	AMS1	1
GO:0006676	MANNOSYL DIPHOSPHORYLINOSITOL CERAMIDE METABOLIC PROCESS	IPT1	1
GO:0000481	MATURATION OF 5S RRNA	SNU66	1
GO:0002109	MATURATION OF SSU-RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, LSU-RRNA,5S)	RPS31	1
GO:0007135	MEIOSIS II	CLB3	1
GO:0070197	MEIOTIC ATTACHMENT OF TELOMERE TO NUCLEAR ENVELOPE	NDJ1	1
GO:0010772	MEIOTIC DNA RECOMBINASE ASSEMBLY INVOLVED IN RECIPROCAL MEIOTIC RECOMBINATION	SAE3	1
GO:1902974	MEIOTIC DNA REPLICATION INITIATION	IME4	1
GO:0000713	MEIOTIC HETERODUPLEX FORMATION	MLH1	1
GO:0010789	MEIOTIC SISTER CHROMATID COHESION INVOLVED IN MEIOSIS I	MAM1	1
GO:0051757	MEIOTIC SISTER CHROMATID SEPARATION	SGO1	1
GO:0033316	MEIOTIC SPINDLE ASSEMBLY CHECKPOINT	MPS1	1
GO:0000212	MEIOTIC SPINDLE ORGANIZATION	TUB4	1
GO:0044821	MEIOTIC TELOMERE TETHERING AT NUCLEAR PERIPHERY	MPS2	1
GO:0030397	MEMBRANE DISASSEMBLY	ATG15	1
GO:0033619	MEMBRANE PROTEIN PROTEOLYSIS	YPF1	1
GO:1990120	MESSENGER RIBONUCLEOPROTEIN COMPLEX ASSEMBLY	DBP2	1
GO:0110051	METABOLITE REPAIR	NNR2	1
GO:0000951	METHIONINE CATABOLIC PROCESS TO 3-METHYLTHIOPROPANOL	ARO10	1
GO:0051596	METHYLGLYOXAL CATABOLIC PROCESS	HSP32	1
GO:0034453	MICROTUBULE ANCHORING	IRC15	1
GO:0001578	MICROTUBULE BUNDLE FORMATION	ASE1	1
GO:0051417	MICROTUBULE NUCLEATION BY SPINDLE POLE BODY	TUB4	1
GO:0031023	MICROTUBULE ORGANIZING CENTER ORGANIZATION	PAC1	1
GO:0072382	MINUS-END-DIRECTED VESICLE TRANSPORT ALONG MICROTUBULE	DYN1	1
GO:0070144	MITOCHONDRIAL ARGINYL-TRNA AMINOACYLATION	MSR1	1
GO:0070145	MITOCHONDRIAL ASPARAGINYL-TRNA AMINOACYLATION	SLM5	1
GO:0070146	MITOCHONDRIAL ASPARTYL-TRNA AMINOACYLATION	MSD1	1
GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT	TAZ1	1
GO:0032043	MITOCHONDRIAL DNA CATABOLIC PROCESS	MIP1	1
GO:0033955	MITOCHONDRIAL DNA INHERITANCE	HSP60	1
